epoch,train_total,train_recon,train_pred,train_lin,val_total,val_recon,val_pred,val_lin
1.000000000000000000e+00,1.768614471773616859e-01,5.562392855936195563e-02,6.901097900408785513e-02,5.222653780383552935e-02,1.557593371253460611e-02,4.999609431251883507e-03,8.982669794932007790e-03,1.593654396128840788e-03
2.000000000000000000e+00,1.306317102571483667e-02,3.330619011103408498e-03,8.141702519787940781e-03,1.590849478088785006e-03,8.251930854748934160e-03,1.679132433491759046e-03,5.527791165513917457e-03,1.045007225184235765e-03
3.000000000000000000e+00,8.197794196894392718e-03,8.614996539108687578e-04,6.160757463658228343e-03,1.175537062590592584e-03,6.297836784506216298e-03,5.564347186009400027e-04,4.896131105488166560e-03,8.452709284028969488e-04
4.000000000000000000e+00,7.367403230455238025e-03,5.195076684685773650e-04,5.857729502895381475e-03,9.901660254399758700e-04,6.077098019886761904e-03,5.299883559928275645e-04,4.827807110268622290e-03,7.193025812739506364e-04
5.000000000000000000e+00,7.328694545140024448e-03,5.538084793442976878e-04,5.911682215810287744e-03,8.632038827272481719e-04,6.096908252220601017e-03,8.209068837459199131e-04,4.675080464221536940e-03,6.009209639159962969e-04
6.000000000000000000e+00,7.300428221060428942e-03,5.760161031503230767e-04,5.925487936474382530e-03,7.989241679752012498e-04,5.465320346411317240e-03,4.340662679169327129e-04,4.450190527131780635e-03,5.810635753732640513e-04
7.000000000000000000e+00,6.916147032461595137e-03,5.816681346914265522e-04,5.625174994929693466e-03,7.093039039318682626e-04,5.622076668078079993e-03,6.417401658836751959e-04,4.448639211477711970e-03,5.316972907166928270e-04
8.000000000000000000e+00,7.071206074033398355e-03,5.538523237191839144e-04,5.825378997542429715e-03,6.919747745996573506e-04,5.242856009863317360e-03,3.874988869938533753e-04,4.358798958128318538e-03,4.965580832504201464e-04
9.000000000000000000e+00,6.820613125455565751e-03,5.352097508875885762e-04,5.651964737626258457e-03,6.334386376693146520e-04,5.473575246287509972e-03,5.412526283180340908e-04,4.438495426438748663e-03,4.938272199069615237e-04
1.000000000000000000e+01,6.909119759802706887e-03,5.508314976395922930e-04,5.741264043899718325e-03,6.170242319058161446e-04,5.259672179818153381e-03,5.591023567831143520e-04,4.256030765827745026e-03,4.445390412001870681e-04
1.100000000000000000e+01,6.775284283503424203e-03,5.231452683801762977e-04,5.670611531240865415e-03,5.815274762426270172e-04,5.944473843555897474e-03,6.133469971246086495e-04,4.859689465956762260e-03,4.714374103059526316e-04
1.200000000000000000e+01,6.617866344458889390e-03,5.405652078479761475e-04,5.538285955844912331e-03,5.390151874962612489e-04,5.155342444777488535e-03,4.697105468949303031e-04,4.270210495451465423e-03,4.154214693699032068e-04
1.300000000000000000e+01,6.458902871236205448e-03,4.812539280464989242e-04,5.465114938851911228e-03,5.125340177983162427e-04,5.559538200031965971e-03,5.338812537956982634e-04,4.612725233891978513e-03,4.129317436309065887e-04
1.400000000000000000e+01,6.850627085077576686e-03,6.082740417696185908e-04,5.739070766139775515e-03,5.032822702560225004e-04,5.528430518461390983e-03,3.886384176439605545e-04,4.730113560799509460e-03,4.096785647561773875e-04
1.500000000000000000e+01,6.523117666074540293e-03,4.899541525446692979e-04,5.552890984108671719e-03,4.802725174158694937e-04,4.775615967810153614e-03,3.929960024834144644e-04,4.017367650521919305e-03,3.652523315395228782e-04
1.600000000000000000e+01,6.393199427111540163e-03,4.771990973495121688e-04,5.455780850024893706e-03,4.602194547260296639e-04,5.537461669882759105e-03,6.929331400897353454e-04,4.466420313110575253e-03,3.781081868510227650e-04
1.700000000000000000e+01,6.313840097573119974e-03,5.205030252909637273e-04,5.356515391031280333e-03,4.368216748844133798e-04,4.940531309694051396e-03,3.058555230381898582e-04,4.282715590670704495e-03,3.519601832522312179e-04
1.800000000000000000e+01,6.172996829263865948e-03,4.395843592646997205e-04,5.308846494881436055e-03,4.245659761181741487e-04,4.737841268070042307e-03,3.397115797270089388e-04,4.066390675143338393e-03,3.317390212032478194e-04
1.900000000000000000e+01,6.365897378418594772e-03,5.302073857819777480e-04,5.418657744303345854e-03,4.170322663412662223e-04,5.224913440179080118e-03,5.031735105148982473e-04,4.380504111759364258e-03,3.412358419154770672e-04
2.000000000000000000e+01,6.105916276283096522e-03,5.093018748084432229e-04,5.197896559548098420e-03,3.987178458373818904e-04,5.136008543195203294e-03,5.452802477520890100e-04,4.273271688725798975e-03,3.174566412781132168e-04
2.100000000000000000e+01,5.683526686334516506e-03,4.321171993979078360e-04,4.871381988050415938e-03,3.800275093453819647e-04,5.050226434832438827e-03,5.220278158958535858e-04,4.221416171640157353e-03,3.067824713070876680e-04
2.200000000000000000e+01,5.893533186463173305e-03,4.432065568835241829e-04,5.065376806305721749e-03,3.849498274576035111e-04,5.244995444081723343e-03,6.350597395794466138e-04,4.317880037706345493e-03,2.920556664321338649e-04
2.300000000000000000e+01,5.920839442114811564e-03,5.336476111551746943e-04,5.010506814869586378e-03,3.766850144529598548e-04,4.804424435133114284e-03,3.428882024309132465e-04,4.134019627235830177e-03,3.275165850936901041e-04
2.400000000000000000e+01,5.936618134728633041e-03,5.019930714297516023e-04,5.043920724710914891e-03,3.907043595063442007e-04,5.304914782755076885e-03,3.997055668151005886e-04,4.522832616930827672e-03,3.823766121058724712e-04
2.500000000000000000e+01,5.466678419907111675e-03,4.282481956579431317e-04,4.681980785971972918e-03,3.564494453712540928e-04,5.261778226122259747e-03,6.592561709112487950e-04,4.297535563819110220e-03,3.049864746571984034e-04
2.600000000000000000e+01,5.776668748876545405e-03,5.028064204452675334e-04,4.907264141365885735e-03,3.665981794256367721e-04,4.809220094466581594e-03,3.424490874749608555e-04,4.175090824719518597e-03,2.916801546234637716e-04
2.700000000000000000e+01,5.737773508008104165e-03,4.444164166670816376e-04,4.937644531310070306e-03,3.557125575753161575e-04,4.702253756113350738e-03,3.668409714009613016e-04,4.049073893111198967e-03,2.863389003323390863e-04
2.800000000000000000e+01,5.370012093044352133e-03,4.767668170643446718e-04,4.554875171743332993e-03,3.383700994163518880e-04,5.766224168473855008e-03,6.244031697860919156e-04,4.831205355003476143e-03,3.106156596913933971e-04
2.900000000000000000e+01,5.614857781620230352e-03,5.544936055230209170e-04,4.716087155975401748e-03,3.442770076617307712e-04,5.193436262197792183e-03,7.081566887791268744e-04,4.232545802369713957e-03,2.527336699131410677e-04
3.000000000000000000e+01,5.444084489136002611e-03,5.119733395986258984e-04,4.595340165542438973e-03,3.367709649864991444e-04,4.900687403278425336e-03,4.731763590825721730e-04,4.155846498906612570e-03,2.716645478358259316e-04
3.100000000000000000e+01,5.501730498508550227e-03,5.383620828979474244e-04,4.616011746111326093e-03,3.473566824141016804e-04,4.560832603601738811e-03,4.701544021372683346e-04,3.830027225194499070e-03,2.606509868201101307e-04
3.200000000000000000e+01,5.528840277111157948e-03,4.365597132164111610e-04,4.761906141357030893e-03,3.303744122604257536e-04,5.264666810398921024e-03,7.078008638927713037e-04,4.287764610489830028e-03,2.691013713047141318e-04
3.300000000000000000e+01,5.267080782505218113e-03,4.765198212226096183e-04,4.468224238371476878e-03,3.223367109058017268e-04,4.261946398764848362e-03,2.249019271403085440e-04,3.764274501008912921e-03,2.727699626120738902e-04
3.400000000000000000e+01,5.237382114864885460e-03,5.002531675927457617e-04,4.417843250848818570e-03,3.192856930581911218e-04,4.948842572048306465e-03,5.139121611136942668e-04,4.189614200731739749e-03,2.453162265737774067e-04
